INNER-JOIN OUTPUT,,,,
OrderID,OrderDate,CustomerID,CompanyName,Country
10643,25-08-1997 00:00,ALFKI,Alfreds Futterkiste,Germany
10692,03-10-1997 00:00,ALFKI,Alfreds Futterkiste,Germany
10702,13-10-1997 00:00,ALFKI,Alfreds Futterkiste,Germany
10835,15-01-1998 00:00,ALFKI,Alfreds Futterkiste,Germany
10952,16-03-1998 00:00,ALFKI,Alfreds Futterkiste,Germany
11011,09-04-1998 00:00,ALFKI,Alfreds Futterkiste,Germany
10308,18-09-1996 00:00,ANATR,Ana Trujillo Emparedados y helados,Mexico
10625,08-08-1997 00:00,ANATR,Ana Trujillo Emparedados y helados,Mexico
10759,28-11-1997 00:00,ANATR,Ana Trujillo Emparedados y helados,Mexico
10926,04-03-1998 00:00,ANATR,Ana Trujillo Emparedados y helados,Mexico
10365,27-11-1996 00:00,ANTON,Antonio Moreno Taquera,Mexico
10507,15-04-1997 00:00,ANTON,Antonio Moreno Taquera,Mexico
10535,13-05-1997 00:00,ANTON,Antonio Moreno Taquera,Mexico
10573,19-06-1997 00:00,ANTON,Antonio Moreno Taquera,Mexico
10677,22-09-1997 00:00,ANTON,Antonio Moreno Taquera,Mexico
10682,25-09-1997 00:00,ANTON,Antonio Moreno Taquera,Mexico
10856,28-01-1998 00:00,ANTON,Antonio Moreno Taquera,Mexico
10355,15-11-1996 00:00,AROUT,Around the Horn,UK
10383,16-12-1996 00:00,AROUT,Around the Horn,UK
10453,21-02-1997 00:00,AROUT,Around the Horn,UK
10558,04-06-1997 00:00,AROUT,Around the Horn,UK
10707,16-10-1997 00:00,AROUT,Around the Horn,UK
10741,14-11-1997 00:00,AROUT,Around the Horn,UK
10743,17-11-1997 00:00,AROUT,Around the Horn,UK
10768,08-12-1997 00:00,AROUT,Around the Horn,UK
10793,24-12-1997 00:00,AROUT,Around the Horn,UK
10864,02-02-1998 00:00,AROUT,Around the Horn,UK
10920,03-03-1998 00:00,AROUT,Around the Horn,UK
10953,16-03-1998 00:00,AROUT,Around the Horn,UK
11016,10-04-1998 00:00,AROUT,Around the Horn,UK
10278,12-08-1996 00:00,BERGS,Berglunds snabbkp,Sweden
10280,14-08-1996 00:00,BERGS,Berglunds snabbkp,Sweden
10384,16-12-1996 00:00,BERGS,Berglunds snabbkp,Sweden
10444,12-02-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10445,13-02-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10524,01-05-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10572,18-06-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10626,11-08-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10654,02-09-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10672,17-09-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10689,01-10-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10733,07-11-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10778,16-12-1997 00:00,BERGS,Berglunds snabbkp,Sweden
10837,16-01-1998 00:00,BERGS,Berglunds snabbkp,Sweden
10857,28-01-1998 00:00,BERGS,Berglunds snabbkp,Sweden
10866,03-02-1998 00:00,BERGS,Berglunds snabbkp,Sweden
10875,06-02-1998 00:00,BERGS,Berglunds snabbkp,Sweden
10924,04-03-1998 00:00,BERGS,Berglunds snabbkp,Sweden
10501,09-04-1997 00:00,BLAUS,Blauer See Delikatessen,Germany
10509,17-04-1997 00:00,BLAUS,Blauer See Delikatessen,Germany
10582,27-06-1997 00:00,BLAUS,Blauer See Delikatessen,Germany
10614,29-07-1997 00:00,BLAUS,Blauer See Delikatessen,Germany
10853,27-01-1998 00:00,BLAUS,Blauer See Delikatessen,Germany
10956,17-03-1998 00:00,BLAUS,Blauer See Delikatessen,Germany
11058,29-04-1998 00:00,BLAUS,Blauer See Delikatessen,Germany
10265,25-07-1996 00:00,BLONP,Blondesddsl pre et fils,France
10297,04-09-1996 00:00,BLONP,Blondesddsl pre et fils,France
10360,22-11-1996 00:00,BLONP,Blondesddsl pre et fils,France
10436,05-02-1997 00:00,BLONP,Blondesddsl pre et fils,France
10449,18-02-1997 00:00,BLONP,Blondesddsl pre et fils,France
10559,05-06-1997 00:00,BLONP,Blondesddsl pre et fils,France
10566,12-06-1997 00:00,BLONP,Blondesddsl pre et fils,France
10584,30-06-1997 00:00,BLONP,Blondesddsl pre et fils,France
10628,12-08-1997 00:00,BLONP,Blondesddsl pre et fils,France
10679,23-09-1997 00:00,BLONP,Blondesddsl pre et fils,France
10826,12-01-1998 00:00,BLONP,Blondesddsl pre et fils,France
10326,10-10-1996 00:00,BOLID,Blido Comidas preparadas,Spain
10801,29-12-1997 00:00,BOLID,Blido Comidas preparadas,Spain
10970,24-03-1998 00:00,BOLID,Blido Comidas preparadas,Spain
10331,16-10-1996 00:00,BONAP,Bon app',France
10340,29-10-1996 00:00,BONAP,Bon app',France
10362,25-11-1996 00:00,BONAP,Bon app',France
10470,11-03-1997 00:00,BONAP,Bon app',France
10511,18-04-1997 00:00,BONAP,Bon app',France
10525,02-05-1997 00:00,BONAP,Bon app',France
10663,10-09-1997 00:00,BONAP,Bon app',France
10715,23-10-1997 00:00,BONAP,Bon app',France
10730,05-11-1997 00:00,BONAP,Bon app',France
10732,06-11-1997 00:00,BONAP,Bon app',France
10755,26-11-1997 00:00,BONAP,Bon app',France
10827,12-01-1998 00:00,BONAP,Bon app',France
10871,05-02-1998 00:00,BONAP,Bon app',France
10876,09-02-1998 00:00,BONAP,Bon app',France
10932,06-03-1998 00:00,BONAP,Bon app',France
10940,11-03-1998 00:00,BONAP,Bon app',France
11076,06-05-1998 00:00,BONAP,Bon app',France
10389,20-12-1996 00:00,BOTTM,Bottom-Dollar Markets,Canada
10410,10-01-1997 00:00,BOTTM,Bottom-Dollar Markets,Canada
10411,10-01-1997 00:00,BOTTM,Bottom-Dollar Markets,Canada
10431,30-01-1997 00:00,BOTTM,Bottom-Dollar Markets,Canada
10492,01-04-1997 00:00,BOTTM,Bottom-Dollar Markets,Canada
10742,14-11-1997 00:00,BOTTM,Bottom-Dollar Markets,Canada
10918,02-03-1998 00:00,BOTTM,Bottom-Dollar Markets,Canada
10944,12-03-1998 00:00,BOTTM,Bottom-Dollar Markets,Canada
10949,13-03-1998 00:00,BOTTM,Bottom-Dollar Markets,Canada
